Mike Wenner
Craig Brazell
Jay Payton
Matt Watson
Pat Deschenes
Hae-Yeong Ma
Bobby Rose
Joe Funaro
Luis Figueroa
Casey Bookout
Sean Burroughs
Carlos Urquiola
Thomas Howard
Mike Lockwood
Gator McBride
Mark Quinn
Jarrod Patterson
Kevin Mench
Benny Agbayani
Ryan Owens
Jason Jones
Brett Cadiente
Yorelvis Charles
Rene Reyes
Mike Stoner
Daryle Ward
Randy Winn
Randy Knorr
Jesse Levis
Val Pascucci
Mike Colangelo
Ventura Cisneros
Orlis Diaz
Ryan Knox
Byung-Gyu Lee
Chris Barski
Nguyen Boulet
Alex Gordon
Hank Blalock
Jeremy Giambi
Nick Johnson
Ryan Christenson
Chris Hatcher
Talmadge Nunnari
Ed Welch
Jose Guillen
Lyle Overbay
Ichiro Suzuki
Dave Abreu
Sung-ho Chang
Jeff Barry
Steve Cox
Will Ford
Dell Lindsey
Shinichi Sato
Yasuaki Taiho
Han-Soo Kim
Adam Piatt
Andy Beinbrink
Jeff Brooks
Jeff Liefer
Chris Sexton
Jason Williams
Roosevelt Brown
Jeff DaVanon
Rob Butler
Ralph Flores
Ben Johnstone
Luis Medina
Jamie Burke
Midre Cummings
Joe Espada
Wes Helms
Ruben Mateo
Sean McGowan
Troy Schader
Raul Gonzalez
David Hulse
Terrell Lowery
Jeong-Soo Shim
Jack Cust
Yeong-woo Lee
Calvin Murray
Scott Sollmann
Vernon Wells
Curt Fiore
Yasser Gomez
Trent Hubbard
Mike Jacobs
Belvani Martinez
William Otero
Matt Padgett
Karl Ryden
Antonio Scull
