Stanley Kubrick, 2001: A Space Odyssey
Gillo Pontecorvo, The Battle of Algiers
Franco Zeffirelli, Romeo and Juliet
John Schlesinger, Midnight Cowboy
Costa-Gavras, Z
George Roy Hill, Butch Cassidy and the Sundance Kid
Arthur Penn, Alice's Restaurant
Sydney Pollack, They Shoot Horses, Don't They?
Franklin J. Schaffner, Patton
Robert Altman, M*A*S*H
Federico Fellini, Fellini Satyricon
Arthur Hiller, Love Story
Ken Russell, Women in Love
William Friedkin, The French Connection
Peter Bogdanovich, The Last Picture Show
Norman Jewison, Fiddler on the Roof
Stanley Kubrick, A Clockwork Orange
John Schlesinger, Sunday Bloody Sunday
Bob Fosse, Cabaret
John Boorman, Deliverance
Francis Ford Coppola, The Godfather
Joseph L. Mankiewicz, Sleuth
Jan Troell, The Emigrants
George Roy Hill, The Sting
Ingmar Bergman, Cries and Whispers
Bernardo Bertolucci, Last Tango in Paris
William Friedkin, The Exorcist
George Lucas, American Graffiti
Francis Ford Coppola, The Godfather Part II
John Cassavetes, A Woman Under the Influence
Bob Fosse, Lenny
Roman Polanski, Chinatown
Francois Truffaut, Day for Night
Milo Forman, One Flew Over the Cuckoo's Nest
Robert Altman, Nashville
Federico Fellini, Amarcord
Stanley Kubrick, Barry Lyndon
Sidney Lumet, Dog Day Afternoon
John G. Avildsen, Rocky
Ingmar Bergman, Face to Face
Sidney Lumet, Network
Alan J. Pakula, All the President's Men
Lina Wertmüller, Seven Beauties
Woody Allen, Annie Hall
George Lucas, Star Wars
Herbert Ross, The Turning Point
Steven Spielberg, Close Encounters of the Third Kind
Fred Zinnemann, Julia
Michael Cimino, The Deer Hunter
Woody Allen, Interiors
Hal Ashby, Coming Home
Warren Beatty & Buck Henry, Heaven Can Wait
Alan Parker, Midnight Express
Robert Benton, Kramer vs. Kramer
Francis Ford Coppola, Apocalypse Now
Bob Fosse, All That Jazz
Peter Yates, Breaking Away
Robert Redford, Ordinary People
David Lynch, The Elephant Man
Roman Polanski, Tess
Richard Rush, The Stunt Man
Martin Scorsese, Raging Bull
Warren Beatty, Reds
Hugh Hudson, Chariots of Fire
Louis Malle, Atlantic City
Mark Rydell, On Golden Pond
Steven Spielberg, Raiders of the Lost Ark
Richard Attenborough, Gandhi
Sidney Lumet, The Verdict
Wolfgang Petersen, Das Boot
Sydney Pollack, Tootsie
Steven Spielberg, E.T. the Extra-Terrestrial
James L. Brooks, Terms of Endearment
Bruce Beresford, Tender Mercies
Ingmar Bergman, Fanny and Alexander
Mike Nichols, Silkwood
Peter Yates, The Dresser
Milo Forman, Amadeus
Woody Allen, Broadway Danny Rose
Robert Benton, Places in the Heart
Roland Joffa, The Killing Fields
David Lean, A Passage to India
Sydney Pollack, Out of Africa
John Huston, Prizzi's Honor
Akira Kurosawa, Ran
Peter Weir, Witness
Oliver Stone, Platoon
Woody Allen, Hannah and Her Sisters
James Ivory, A Room with a View
Roland Joffé, The Mission
David Lynch, Blue Velvet
Bernardo Bertolucci, The Last Emperor
John Boorman, Hope and Glory
Lasse Hallstrom, My Life as a Dog
Norman Jewison, Moonstruck
Adrian Lyne, Fatal Attraction
Barry Levinson, Rain Man
Charles Crichton, A Fish Called Wanda
Mike Nichols, Working Girl
Alan Parker, Mississippi Burning
Martin Scorsese, The Last Temptation of Christ
Oliver Stone, Born on the Fourth of July
Woody Allen, Crimes and Misdemeanors
Kenneth Branagh, Henry V
Jim Sheridan, My Left Foot
Peter Weir, Dead Poets Society
Kevin Costner, Dances with Wolves
Francis Ford Coppola, The Godfather Part III
Stephen Frears, The Grifters
Barbet Schroeder, Reversal of Fortune
Martin Scorsese, Goodfellas
Jonathan Demme, The Silence of the Lambs
Barry Levinson, Bugsy
Ridley Scott, Thelma & Louise
John Singleton, Boyz n the Hood
Oliver Stone, JFK
Clint Eastwood, Unforgiven
Robert Altman, The Player
Martin Brest, Scent of a Woman
James Ivory, Howards End
Neil Jordan, The Crying Game
Steven Spielberg, Schindler's List
Robert Altman, Short Cuts
Jane Campion, The Piano
James Ivory, The Remains of the Day
Jim Sheridan, In the Name of the Father
Robert Zemeckis, Forrest Gump
Woody Allen, Bullets over Broadway
Krzysztof Kielowski, Three Colours: Red
Robert Redford, Quiz Show
Quentin Tarantino, Pulp Fiction
Mel Gibson, Braveheart
Mike Figgis, Leaving Las Vegas
Chris Noonan, Babe
Michael Radford, Il Postino: The Postman
Tim Robbins, Dead Man Walking
Anthony Minghella, The English Patient
Joel Coen, Fargo
Milo Forman, The People vs. Larry Flynt
Scott Hicks, Shine
Mike Leigh, Secrets & Lies
James Cameron, Titanic
Peter Cattaneo, The Full Monty
Atom Egoyan, The Sweet Hereafter
Curtis Hanson, L.A. Confidential
Gus Van Sant, Good Will Hunting
Steven Spielberg, Saving Private Ryan
Roberto Benigni, Life Is Beautiful
John Madden, Shakespeare in Love
Terrence Malick, The Thin Red Line
Peter Weir, The Truman Show
Sam Mendes, American Beauty
Lasse Hallstrom, The Cider House Rules
Spike Jonze, Being John Malkovich
Michael Mann, The Insider
M. Night Shyamalan, The Sixth Sense
Steven Soderbergh, Traffic
Stephen Daldry, Billy Elliot
Ang Lee, Crouching Tiger, Hidden Dragon
Ridley Scott, Gladiator
Steven Soderbergh, Erin Brockovich
Ron Howard, A Beautiful Mind
Robert Altman, Gosford Park
Peter Jackson, The Lord of the Rings: The Fellowship of the Ring
David Lynch, Mulholland Drive
Ridley Scott, Black Hawk Down
Roman Polanski, The Pianist
Pedro Almodavar, Talk to Her
Stephen Daldry, The Hours
Rob Marshall, Chicago
Martin Scorsese, Gangs of New York
Peter Jackson, The Lord of the Rings: The Return of the King
Sofia Coppola, Lost in Translation
Clint Eastwood, Mystic River
Fernando Meirelles, City of God
Peter Weir, Master and Commander: The Far Side of the World
Clint Eastwood, Million Dollar Baby
Taylor Hackford, Ray
Mike Leigh, Vera Drake
Alexander Payne, Sideways
Martin Scorsese, The Aviator
Ang Lee, Brokeback Mountain
George Clooney, Good Night, and Good Luck
Paul Haggis, Crash
Bennett Miller, Capote
Steven Spielberg, Munich
Martin Scorsese, The Departed
Clint Eastwood, Letters from Iwo Jima
Stephen Frears, The Queen
Paul Greengrass, United 93
Alejandro G. Inarritu, Babel
Coen Brothers, No Country for Old Men
Paul Thomas Anderson, There Will Be Blood
Tony Gilroy, Michael Clayton
Jason Reitman, Juno
Julian Schnabel, The Diving Bell and the Butterfly
Danny Boyle, Slumdog Millionaire
Stephen Daldry, The Reader
David Fincher, The Curious Case of Benjamin Button
Ron Howard, Frost/Nixon
Gus Van Sant, Milk
Kathryn Bigelow, The Hurt Locker
James Cameron, Avatar
Lee Daniels, Precious
Jason Reitman, Up in the Air
Quentin Tarantino, Inglourious Basterds
Tom Hooper, The King's Speech
Darren Aronofsky, Black Swan
Coen Brothers, True Grit
David Fincher, The Social Network
David O. Russell, The Fighter
Michel Hazanavicius, The Artist
Woody Allen, Midnight in Paris
Terrence Malick, The Tree of Life
Alexander Payne, The Descendants
Martin Scorsese, Hugo
Ang Lee, Life of Pi
Michael Haneke, Amour
David O. Russell, Silver Linings Playbook
Steven Spielberg, Lincoln
Benh Zeitlin, Beasts of the Southern Wild
Alfonso Cuaran, Gravity
Steve McQueen, 12 Years a Slave
Alexander Payne, Nebraska
David O. Russell, American Hustle
Martin Scorsese, The Wolf of Wall Street
Alejandro G. Inarritu, Birdman
Wes Anderson, The Grand Budapest Hotel
Richard Linklater, Boyhood
Bennett Miller, Foxcatcher
Morten Tyldum, The Imitation Game
Alejandro G. Inarritu, The Revenant
Lenny Abrahamson, Room
Tom McCarthy, Spotlight
Adam McKay, The Big Short
George Miller, Mad Max: Fury Road
Damien Chazelle, La La Land
Mel Gibson, Hacksaw Ridge
Barry Jenkins, Moonlight
Kenneth Lonergan, Manchester by the Sea
Denis Villeneuve, Arrival
Guillermo del Toro, The Shape of Water
Paul Thomas Anderson, Phantom Thread
Greta Gerwig, Lady Bird
Christopher Nolan, Dunkirk
Jordan Peele, Get Out
